PHD2 version 2.4.0, Log version 2.5. Log enabled at 2014-11-29 22:08:26

Guiding Begins at 2014-11-29 22:08:42
Dither = both axes, Dither scale = 1.000, Image noise reduction = none, Guide-frame time lapse = 0, Server enabled
Pixel scale = 7.73 arc-sec/px, Focal length = 100 mm
Search region = 15 px, Star mass tolerance = 50.0%
Equipment Profile = q5_100
Camera = Simulator, gain = 95, full size = 752 x 580, no dark, no defect map, pixel size = 3.8 um
Exposure = 1000 ms
Mount = EQMOD ASCOM Simulator,  connected, guiding enabled, xAngle = -3.5, xRate = 0.0006, yAngle = 265.2, yRate = 0.0008, Dec = 90.0 deg, Pier side = West
X guide algorithm = Hysteresis, Hysteresis = 0.100, Aggression = 0.700, Minimum move = 0.170
Y guide algorithm = Resist Switch, Minimum move = 0.170
Calibration step = phdlab_placeholder, Max RA duration = 2000, Max DEC duration = 2000, DEC guide mode = Auto
Lock position = 428.883, 179.151, Star position = 428.883, 179.151
Frame,Time,mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
46,79.175,"Mount",-0.473,-0.840,-0.420,0.858,-0.279,0.858,446,E,1068,S,,,102793,7.37,0
47,81.974,"Mount",-0.837,-0.523,-0.803,0.556,-0.525,0.556,839,E,692,S,,,87092,7.80,0
48,84.941,"Mount",-0.478,-0.842,-0.426,0.860,-0.305,0.860,487,E,1071,S,,,92483,7.52,0
49,87.311,"Mount",-0.190,-0.820,-0.139,0.826,0.000,0.826,0,,1029,S,,,101057,6.63,0
50,90.065,"Mount",-0.156,-1.069,-0.090,1.075,0.000,1.075,0,,1337,S,,,96139,8.99,0
51,93.037,"Mount",-0.459,-0.925,-0.401,0.942,-0.253,0.942,404,E,1172,S,,,89196,8.29,0
52,95.935,"Mount",-0.470,-0.834,-0.418,0.852,-0.281,0.852,448,E,1060,S,,,99201,7.57,0
53,99.002,"Mount",-0.239,-1.269,-0.160,1.277,0.000,1.277,0,,1590,S,,,86199,8.03,0
54,101.791,"Mount",-0.282,-0.928,-0.224,0.939,-0.141,0.939,225,E,1168,S,,,93158,9.63,0
55,104.857,"Mount",-0.468,-0.983,-0.407,1.001,-0.266,1.001,425,E,1246,S,,,87313,8.09,0
56,107.555,"Mount",-0.227,-1.022,-0.164,1.030,0.000,1.030,0,,1282,S,,,82710,10.20,0
57,109.997,"Mount",-0.029,-0.871,0.025,0.872,0.000,0.872,0,,1085,S,,,86287,8.36,0
58,113.588,"Mount",-0.515,-1.289,-0.435,1.308,-0.274,1.308,437,E,1628,S,,,82210,9.54,0
59,116.141,"Mount",-0.147,-0.927,-0.089,0.932,0.000,0.932,0,,1160,S,,,83356,9.15,0
60,119.486,"Mount",-0.265,-1.279,-0.186,1.289,-0.117,1.289,187,E,1604,S,,,74323,9.45,0
61,122.171,"Mount",-0.076,-1.005,-0.014,1.008,0.000,1.008,0,,1254,S,,,76437,9.02,0
62,125.119,"Mount",-0.238,-1.189,-0.165,1.198,0.000,1.198,0,,1491,S,,,74788,9.98,0
63,128.014,"Mount",-0.094,-1.123,-0.024,1.126,0.000,1.126,0,,1401,S,,,64438,10.06,0
64,131.013,"Mount",-0.076,-1.237,0.000,1.239,0.000,1.239,0,,1542,S,,,65869,10.39,0
65,134.088,"Mount",-0.027,-1.247,0.050,1.247,0.000,1.247,0,,1552,S,,,76233,9.57,0
66,137.020,"Mount",-0.070,-1.202,0.005,1.204,0.000,1.204,0,,1498,S,,,72981,10.55,0
67,140.070,"Mount",0.008,-1.273,0.086,1.272,0.000,1.272,0,,1583,S,,,69415,10.68,0
68,143.262,"Mount",0.072,-1.342,0.155,1.338,0.000,1.338,0,,1666,S,,,78292,8.96,0
69,146.483,"Mount",-0.059,-1.364,0.025,1.365,0.000,1.365,0,,1699,S,,,72204,10.15,0
70,149.823,"Mount",0.122,-1.292,0.201,1.286,0.127,1.286,203,W,1601,S,,,77959,8.96,0
71,153.131,"Mount",-0.253,-1.399,-0.166,1.408,0.000,1.408,0,,1752,S,,,86898,8.97,0
72,156.547,"Mount",-0.164,-1.450,-0.074,1.455,0.000,1.455,0,,1811,S,,,78385,9.67,0
73,160.112,"Mount",-0.059,-1.605,0.040,1.606,0.000,1.606,0,,1999,S,,,90305,8.87,0
74,163.330,"Mount",-0.026,-1.363,0.058,1.363,0.000,1.363,0,,1697,S,,,87073,8.78,0
75,166.147,"Mount",-0.126,-1.117,-0.057,1.121,0.000,1.121,0,,1396,S,,,84551,9.50,0
76,169.727,"Mount",-0.075,-1.677,0.028,1.678,0.000,1.678,0,,2000,S,,,79776,9.67,0
77,173.533,"Mount",-0.344,-1.631,-0.243,1.643,-0.153,1.643,244,E,2000,S,,,85871,9.35,0
78,177.259,"Mount",0.074,-1.856,0.188,1.852,0.108,1.852,172,W,2000,S,,,75753,10.22,0
79,181.056,"Mount",0.093,-1.834,0.206,1.829,0.138,1.829,220,W,2000,S,,,74555,10.41,0
80,184.971,"Mount",0.189,-1.651,0.291,1.643,0.193,1.643,308,W,2000,S,,,88010,8.78,0
81,188.932,"Mount",0.249,-1.755,0.357,1.744,0.238,1.744,381,W,2000,S,,,75979,10.30,0
82,192.972,"Mount",0.318,-1.788,0.428,1.774,0.286,1.774,457,W,2000,S,,,75943,9.71,0
83,196.922,"Mount",0.192,-1.826,0.305,1.817,0.212,1.817,338,W,2000,S,,,85813,8.94,0
84,201.019,"Mount",0.357,-1.998,0.480,1.983,0.317,1.983,506,W,2000,S,,,72998,10.43,0
85,205.405,"Mount",0.626,-1.961,0.746,1.935,0.492,1.935,786,W,2000,S,,,71236,9.47,0
86,209.393,"Mount",0.243,-1.787,0.353,1.776,0.257,1.776,410,W,2000,S,,,79630,9.66,0
87,213.440,"Mount",0.312,-2.045,0.438,2.031,0.294,2.031,469,W,2000,S,,,65240,10.36,0
88,217.449,"Mount",0.261,-2.061,0.387,2.049,0.265,2.049,423,W,2000,S,,,82786,8.02,0
89,221.522,"Mount",0.316,-2.181,0.450,2.166,0.302,2.166,482,W,2000,S,,,72172,10.36,0
90,225.800,"Mount",0.541,-2.117,0.671,2.094,0.444,2.094,708,W,2000,S,,,76353,9.91,0
91,229.996,"Mount",0.415,-2.156,0.547,2.138,0.376,2.138,600,W,2000,S,,,79132,10.73,0
92,234.679,"Mount",0.914,-2.119,1.043,2.081,0.683,2.081,1091,W,2000,S,,,75829,9.37,0
93,238.942,"Mount",0.486,-2.075,0.613,2.055,0.434,2.055,693,W,2000,S,,,83015,10.85,0
94,243.128,"Mount",0.415,-2.154,0.547,2.136,0.375,2.136,598,W,2000,S,,,80891,9.96,0
95,247.326,"Mount",0.445,-2.248,0.583,2.229,0.394,2.229,629,W,2000,S,,,72502,9.91,0
96,251.464,"Mount",0.369,-2.315,0.511,2.299,0.350,2.299,559,W,2000,S,,,71751,10.14,0
97,255.607,"Mount",0.379,-2.226,0.516,2.209,0.350,2.209,558,W,2000,S,,,91778,9.40,0
98,259.714,"Mount",0.358,-2.226,0.495,2.211,0.336,2.211,537,W,2000,S,,,78220,9.14,0
99,263.984,"Mount",0.496,-2.296,0.637,2.275,0.425,2.275,678,W,2000,S,,,83074,8.55,0
100,267.992,"Mount",0.199,-2.758,0.369,2.748,0.262,2.748,419,W,2000,S,,,72591,9.12,0
101,271.828,"Mount",0.051,-2.817,0.225,2.813,0.160,2.813,255,W,2000,S,,,83840,8.03,0
102,275.798,"Mount",0.185,-2.992,0.369,2.983,0.244,2.983,389,W,2000,S,,,74733,9.03,0
103,280.013,"Mount",0.408,-2.780,0.579,2.761,0.382,2.761,610,W,2000,S,,,81583,8.70,0
104,283.993,"Mount",0.198,-2.735,0.366,2.725,0.258,2.725,411,W,2000,S,,,74934,9.80,0
105,287.929,"Mount",0.143,-2.813,0.316,2.805,0.217,2.805,347,W,2000,S,,,84981,10.16,0
106,291.990,"Mount",0.270,-2.885,0.447,2.872,0.297,2.872,474,W,2000,S,,,74981,10.83,0
107,295.947,"Mount",0.123,-2.997,0.308,2.989,0.215,2.989,343,W,2000,S,,,62608,11.09,0
108,299.975,"Mount",0.212,-3.083,0.402,3.072,0.268,3.072,428,W,2000,S,,,59440,12.68,0
109,303.862,"Mount",0.093,-3.032,0.280,3.026,0.195,3.026,312,W,2000,S,,,66056,12.19,0
110,307.713,"Mount",0.062,-3.053,0.250,3.048,0.171,3.048,274,W,2000,S,,,64003,13.06,0
111,311.675,"Mount",0.144,-3.210,0.342,3.202,0.228,3.202,363,W,2000,S,,,75518,13.16,0
112,315.636,"Mount",0.164,-3.178,0.360,3.169,0.243,3.169,388,W,2000,S,,,66882,13.04,0
113,319.725,"Mount",0.286,-3.296,0.489,3.282,0.325,3.282,519,W,2000,S,,,72874,11.85,0
114,323.676,"Mount",0.136,-3.291,0.339,3.283,0.236,3.283,377,W,2000,S,,,58309,13.04,0
115,327.600,"Mount",0.127,-3.266,0.328,3.259,0.223,3.259,356,W,2000,S,,,69006,12.10,0
116,331.603,"Mount",0.178,-3.408,0.388,3.398,0.260,3.398,415,W,2000,S,,,73981,11.76,0
117,335.653,"Mount",0.244,-3.256,0.444,3.243,0.298,3.243,476,W,2000,S,,,84416,10.13,0
118,339.732,"Mount",0.262,-3.358,0.469,3.345,0.316,3.345,505,W,2000,S,,,79429,10.42,0
119,343.690,"Mount",0.129,-3.490,0.344,3.482,0.239,3.482,382,W,2000,S,,,75188,8.39,0
120,347.704,"Mount",0.181,-3.616,0.404,3.606,0.271,3.606,433,W,2000,S,,,88054,8.50,0
121,351.908,"Mount",0.414,-3.185,0.610,3.166,0.403,3.166,644,W,2000,S,,,91275,8.68,0
122,356.160,"Mount",0.384,-3.591,0.605,3.573,0.409,3.573,654,W,2000,S,,,76961,9.60,0
123,360.625,"Mount",0.608,-3.496,0.822,3.469,0.547,3.469,873,W,2000,S,,,91261,8.80,0
124,364.883,"Mount",0.361,-3.761,0.592,3.744,0.411,3.744,657,W,2000,S,,,85136,8.62,0
Guiding Ends at 2014-11-29 22:14:50
125,369.091,"Mount",0.361,-3.335,0.566,3.318,0.385,3.318,616,W,2000,S,,,86033,7.70,0

Guiding Begins at 2014-11-29 22:14:55
Dither = both axes, Dither scale = 1.000, Image noise reduction = none, Guide-frame time lapse = 0, Server enabled
Pixel scale = 7.73 arc-sec/px, Focal length = 100 mm
Search region = 15 px, Star mass tolerance = 50.0%
Equipment Profile = q5_100
Camera = Simulator, gain = 95, full size = 752 x 580, no dark, no defect map, pixel size = 3.8 um
Exposure = 1000 ms
Mount = EQMOD ASCOM Simulator,  connected, guiding enabled, xAngle = 176.5, xRate = 0.0006, yAngle = 265.2, yRate = 0.0008, Dec = 89.8 deg, Pier side = East
X guide algorithm = Hysteresis, Hysteresis = 0.100, Aggression = 0.700, Minimum move = 0.170
Y guide algorithm = Resist Switch, Minimum move = 0.170
Calibration step = phdlab_placeholder, Max RA duration = 2000, Max DEC duration = 2000, DEC guide mode = Auto
Lock position = 429.164, 175.188, Star position = 429.164, 175.188
Frame,Time,mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,1.559,"Mount",0.443,0.013,-0.442,-0.031,-0.278,0.000,444,E,0,,,,103331,7.22,0
2,2.850,"Mount",0.195,0.220,-0.181,-0.227,-0.134,0.000,214,E,0,,,,87164,8.92,0
3,4.252,"Mount",0.298,-0.094,-0.304,0.082,-0.201,0.000,320,E,0,,,,96351,7.87,0
4,5.676,"Mount",0.326,0.135,-0.317,-0.148,-0.214,0.000,342,E,0,,,,88210,8.65,0
5,7.166,"Mount",0.373,-0.230,-0.386,0.216,-0.258,0.000,412,E,0,,,,98187,8.19,0
6,8.941,"Mount",0.669,0.171,-0.657,-0.197,-0.432,0.000,690,E,0,,,,99271,7.52,0
7,10.011,"Mount",0.167,0.240,-0.152,-0.247,0.000,0.000,0,,0,,,,98835,7.93,0
8,11.427,"Mount",0.287,-0.184,-0.298,0.172,-0.188,0.000,300,E,0,,,,99886,8.17,0
9,12.843,"Mount",0.307,-0.041,-0.309,0.029,-0.208,0.000,332,E,0,,,,92371,8.46,0
10,14.378,"Mount",0.427,-0.038,-0.429,0.021,-0.285,0.000,454,E,0,,,,75487,8.99,0
11,15.977,"Mount",0.486,-0.031,-0.487,0.012,-0.327,0.000,522,E,0,,,,83808,8.78,0
12,17.074,"Mount",0.081,-0.128,-0.089,0.124,0.000,0.000,0,,0,,,,87293,9.36,0
13,18.844,"Mount",0.665,-0.322,-0.684,0.295,-0.431,0.000,688,E,0,,,,90385,8.54,0
14,20.210,"Mount",0.248,0.167,-0.237,-0.177,-0.179,0.000,286,E,0,,,,97727,8.83,0
15,21.820,"Mount",0.519,-0.249,-0.534,0.229,-0.349,0.000,557,E,0,,,,88324,8.07,0
16,22.884,"Mount",0.108,0.034,-0.105,-0.039,0.000,0.000,0,,0,,,,75087,8.68,0
17,24.435,"Mount",0.142,-0.262,-0.158,0.256,0.000,0.256,0,,319,S,,,78557,9.41,0
18,25.725,"Mount",0.215,-0.026,-0.216,0.017,-0.136,0.000,218,E,0,,,,83455,9.08,0
19,27.303,"Mount",0.463,-0.171,-0.473,0.153,-0.307,0.000,491,E,0,,,,74253,9.77,0
20,29.606,"Mount",0.518,-0.419,-0.543,0.398,-0.364,0.398,581,E,496,S,,,84941,8.86,0
21,31.213,"Mount",0.468,-0.156,-0.477,0.137,-0.326,0.000,520,E,0,,,,90239,9.02,0
22,33.365,"Mount",0.629,-0.240,-0.643,0.215,-0.428,0.215,683,E,267,S,,,78731,9.07,0
23,35.327,"Mount",0.426,-0.243,-0.440,0.226,-0.307,0.226,490,E,281,S,,,79320,10.09,0
24,37.178,"Mount",0.716,-0.100,-0.721,0.071,-0.476,0.000,760,E,0,,,,73570,9.72,0
25,38.886,"Mount",0.574,-0.029,-0.575,0.007,-0.395,0.000,632,E,0,,,,86004,8.87,0
26,41.044,"Mount",0.607,-0.262,-0.622,0.238,-0.420,0.238,670,E,296,S,,,70749,11.65,0
27,43.392,"Mount",0.732,-0.283,-0.748,0.253,-0.500,0.253,799,E,315,S,,,70410,9.70,0
28,45.381,"Mount",0.465,-0.248,-0.480,0.229,-0.337,0.229,538,E,285,S,,,80595,9.36,0
29,47.498,"Mount",0.659,-0.200,-0.670,0.174,-0.446,0.174,712,E,216,S,,,69707,10.55,0
30,49.612,"Mount",0.585,-0.225,-0.598,0.202,-0.408,0.202,651,E,251,S,,,78273,10.02,0
31,52.036,"Mount",0.763,-0.318,-0.782,0.287,-0.521,0.287,832,E,357,S,,,65899,10.63,0
32,54.326,"Mount",0.678,-0.292,-0.694,0.265,-0.474,0.265,757,E,329,S,,,76097,11.98,0
33,56.650,"Mount",0.607,-0.347,-0.627,0.323,-0.428,0.323,684,E,402,S,,,67904,11.55,0
34,59.053,"Mount",0.805,-0.305,-0.822,0.273,-0.548,0.273,875,E,340,S,,,76137,11.17,0
35,61.561,"Mount",0.765,-0.360,-0.786,0.329,-0.534,0.329,852,E,410,S,,,71743,11.03,0
36,63.965,"Mount",0.772,-0.310,-0.789,0.279,-0.535,0.279,854,E,347,S,,,66668,10.29,0
37,66.448,"Mount",0.697,-0.404,-0.720,0.376,-0.491,0.376,784,E,468,S,,,66768,11.60,0
38,68.857,"Mount",0.826,-0.265,-0.841,0.232,-0.564,0.232,901,E,289,S,,,70045,12.20,0
39,71.356,"Mount",0.909,-0.302,-0.926,0.265,-0.623,0.265,994,E,330,S,,,76066,10.95,0
40,73.872,"Mount",0.785,-0.387,-0.807,0.356,-0.552,0.356,882,E,443,S,,,89935,10.51,0
41,76.696,"Mount",0.836,-0.517,-0.867,0.484,-0.585,0.484,934,E,602,S,,,73673,11.68,0
42,79.348,"Mount",0.834,-0.405,-0.858,0.371,-0.581,0.371,928,E,462,S,,,72076,9.73,0
43,81.813,"Mount",0.715,-0.361,-0.736,0.333,-0.505,0.333,806,E,414,S,,,82360,9.53,0
44,84.948,"Mount",0.847,-0.680,-0.887,0.646,-0.594,0.646,949,E,804,S,,,74889,9.53,0
45,87.756,"Mount",0.850,-0.508,-0.880,0.474,-0.596,0.474,952,E,590,S,,,70396,10.64,0
46,90.705,"Mount",0.646,-0.695,-0.687,0.669,-0.475,0.669,758,E,832,S,,,85722,8.48,0
47,93.341,"Mount",0.809,-0.434,-0.835,0.402,-0.559,0.402,893,E,500,S,,,73417,10.13,0
48,96.679,"Mount",0.882,-0.800,-0.929,0.764,-0.625,0.764,997,E,951,S,,,79809,9.88,0
49,100.392,"Mount",0.981,-0.977,-1.039,0.938,-0.698,0.938,1115,E,1167,S,,,67896,9.75,0
50,103.831,"Mount",0.741,-0.921,-0.796,0.891,-0.550,0.891,879,E,1109,S,,,77126,10.36,0
51,107.380,"Mount",0.892,-0.923,-0.947,0.887,-0.635,0.887,1014,E,1104,S,,,76574,10.30,0
52,110.875,"Mount",0.898,-0.892,-0.951,0.856,-0.644,0.856,1028,E,1065,S,,,68742,11.46,0
53,114.432,"Mount",0.838,-0.978,-0.897,0.944,-0.610,0.944,974,E,1175,S,,,66957,11.91,0
54,118.020,"Mount",0.745,-1.048,-0.808,1.018,-0.552,1.018,881,E,1267,S,,,71597,9.88,0
55,121.764,"Mount",0.871,-1.041,-0.934,1.006,-0.627,1.006,1001,E,1252,S,,,64960,11.03,0
56,125.508,"Mount",0.809,-1.112,-0.876,1.079,-0.596,1.079,951,E,1343,S,,,72870,12.89,0
57,129.267,"Mount",0.775,-1.145,-0.844,1.114,-0.573,1.114,915,E,1386,S,,,66810,11.06,0
58,132.902,"Mount",0.651,-1.123,-0.719,1.096,-0.493,1.096,788,E,1365,S,,,73290,11.82,0
