PHD2 version 2.4.0, Log version 2.5. Log enabled at 2014-11-29 22:08:26

Guiding Begins at 2014-11-29 22:08:42
Dither = both axes, Dither scale = 1.000, Image noise reduction = none, Guide-frame time lapse = 0, Server enabled
Pixel scale = 7.73 arc-sec/px, Focal length = 100 mm
Search region = 15 px, Star mass tolerance = 50.0%
Equipment Profile = q5_100
Camera = Simulator, gain = 95, full size = 752 x 580, no dark, no defect map, pixel size = 3.8 um
Exposure = 1000 ms
Mount = EQMOD ASCOM Simulator,  connected, guiding enabled, xAngle = -3.5, xRate = 0.0006, yAngle = 265.2, yRate = 0.0008, Dec = 90.0 deg, Pier side = West
X guide algorithm = Hysteresis, Hysteresis = 0.100, Aggression = 0.700, Minimum move = 0.170
Y guide algorithm = Resist Switch, Minimum move = 0.170
Calibration step = phdlab_placeholder, Max RA duration = 2000, Max DEC duration = 2000, DEC guide mode = Auto
Lock position = 428.883, 179.151, Star position = 428.883, 179.151
Frame,Time,mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
11,21.232,"Mount",0.224,0.080,-0.219,-0.089,-0.138,0.000,2000,E,0,,,,65465,12.57,0
12,22.277,"Mount",0.166,0.117,-0.158,-0.124,0.000,0.000,0,,0,,,,67850,12.66,0
13,25.350,"Mount",0.279,0.065,-0.275,-0.076,-0.173,0.000,2000,E,0,,,,77908,12.50,0
14,28.439,"Mount",0.288,-0.059,-0.291,0.047,-0.195,0.000,2000,E,0,,,,68839,12.04,0
15,31.543,"Mount",0.282,0.111,-0.275,-0.122,-0.187,0.000,2000,E,0,,,,66787,10.74,0
16,34.648,"Mount",0.306,-0.090,-0.311,0.078,-0.209,0.000,2000,E,0,,,,79059,12.23,0
17,37.752,"Mount",0.249,-0.101,-0.255,0.091,-0.175,0.000,2000,E,0,,,,70726,10.03,0
18,40.841,"Mount",0.467,-0.084,-0.471,0.065,-0.309,0.000,2000,E,0,,,,82633,10.59,0
19,43.945,"Mount",0.173,-0.118,-0.180,0.111,-0.135,0.000,2000,E,0,,,,74150,9.61,0
20,47.050,"Mount",0.549,-0.012,-0.548,-0.009,-0.355,0.000,2000,E,0,,,,79076,9.31,0
21,50.137,"Mount",0.422,0.010,-0.421,-0.027,-0.290,0.000,2000,E,0,,,,84305,10.09,0
22,51.244,"Mount",0.096,-0.123,-0.103,0.119,0.000,0.000,0,,0,,,,80521,8.32,0
23,54.333,"Mount",0.549,-0.021,-0.549,-0.000,-0.346,0.000,2000,E,0,,,,81075,8.63,0
24,57.453,"Mount",0.331,-0.500,-0.361,0.486,-0.252,0.000,2000,E,0,,,,84139,7.66,0
25,60.558,"Mount",0.400,-0.210,-0.412,0.194,-0.277,0.000,2000,E,0,,,,80480,9.10,0
26,64.083,"Mount",0.431,-0.285,-0.448,0.267,-0.302,0.267,2000,E,333,S,,,75501,9.43,0
27,68.620,"Mount",0.284,-0.561,-0.318,0.549,-0.222,0.549,2000,E,684,S,,,100297,7.51,0
28,72.815,"Mount",0.366,-0.715,-0.409,0.700,-0.273,0.700,2000,E,871,S,,,85080,8.46,0
29,76.876,"Mount",0.219,-0.629,-0.258,0.619,-0.182,0.619,2000,E,771,S,,,94228,8.75,0
30,80.812,"Mount",0.446,-0.577,-0.480,0.558,-0.315,0.558,2000,E,695,S,,,95670,8.64,0
31,84.647,"Mount",0.375,-0.491,-0.404,0.476,-0.277,0.476,2000,E,592,S,,,93944,8.18,0
32,88.397,"Mount",0.621,-0.435,-0.646,0.410,-0.427,0.410,2000,E,510,S,,,108666,8.10,0
33,92.028,"Mount",0.700,-0.351,-0.720,0.323,-0.483,0.323,2000,E,402,S,,,108954,7.63,0
34,95.963,"Mount",0.662,-0.568,-0.695,0.541,-0.472,0.541,2000,E,674,S,,,97902,7.81,0
35,100.348,"Mount",0.626,-0.849,-0.677,0.823,-0.460,0.823,2000,E,1025,S,,,92102,7.17,0
36,104.602,"Mount",0.876,-0.781,-0.923,0.746,-0.614,0.746,2000,E,928,S,,,80496,9.83,0
37,108.668,"Mount",0.871,-0.640,-0.909,0.605,-0.616,0.605,2000,E,753,S,,,88923,9.14,0
38,113.144,"Mount",0.797,-0.880,-0.850,0.848,-0.578,0.848,2000,E,1055,S,,,86118,9.03,0
39,117.595,"Mount",0.901,-0.912,-0.956,0.875,-0.643,0.875,2000,E,1090,S,,,68040,10.44,0
40,122.159,"Mount",0.739,-0.992,-0.799,0.962,-0.548,0.962,2000,E,1197,S,,,83241,8.97,0
41,126.813,"Mount",0.646,-1.009,-0.707,0.983,-0.484,0.983,2000,E,1223,S,,,79085,9.84,0
42,130.949,"Mount",0.633,-0.686,-0.674,0.660,-0.459,0.660,2000,E,822,S,,,84872,8.93,0
43,135.837,"Mount",0.853,-1.191,-0.925,1.156,-0.615,1.156,2000,E,1439,S,,,79853,9.49,0
44,140.745,"Mount",0.999,-1.195,-1.071,1.154,-0.718,1.154,2000,E,1437,S,,,64946,10.38,0
45,145.583,"Mount",1.103,-1.143,-1.171,1.099,-0.788,1.099,2000,E,1367,S,,,89412,9.16,0
46,150.208,"Mount",0.832,-1.022,-0.894,0.989,-0.618,0.989,2000,E,1230,S,,,92873,8.45,0
47,155.163,"Mount",1.156,-1.216,-1.228,1.170,-0.817,1.170,2000,E,1456,S,,,96097,7.76,0
48,159.918,"Mount",0.904,-1.105,-0.971,1.068,-0.669,1.068,2000,E,1330,S,,,84234,8.28,0
49,164.726,"Mount",0.580,-1.148,-0.650,1.124,-0.456,1.124,2000,E,1399,S,,,103343,6.90,0
50,170.246,"Mount",0.145,-1.549,-0.240,1.542,-0.183,1.542,2000,E,1920,S,,,105362,7.31,0
51,175.811,"Mount",0.358,-1.610,-0.457,1.595,-0.301,1.595,2000,E,1985,S,,,102990,7.49,0
52,181.401,"Mount",0.355,-1.778,-0.464,1.763,-0.313,1.763,2000,E,2000,S,,,79831,8.49,0
53,186.968,"Mount",0.830,-1.668,-0.931,1.634,-0.609,1.634,2000,E,2000,S,,,86037,8.43,0
54,192.525,"Mount",0.080,-2.085,-0.209,2.080,-0.174,2.080,2000,E,2000,S,,,77649,9.43,0
55,198.106,"Mount",0.294,-1.984,-0.416,1.970,-0.274,1.970,2000,E,2000,S,,,69079,11.27,0
56,203.676,"Mount",0.316,-2.090,-0.444,2.075,-0.299,2.075,2000,E,2000,S,,,84340,9.40,0
57,209.233,"Mount",0.668,-2.003,-0.790,1.975,-0.519,1.975,2000,E,2000,S,,,69789,10.55,0
58,214.785,"Mount",0.277,-1.995,-0.399,1.982,-0.288,1.982,2000,E,2000,S,,,70621,11.79,0
59,220.383,"Mount",0.457,-2.135,-0.588,2.115,-0.391,2.115,2000,E,2000,S,,,79799,10.52,0
60,225.959,"Mount",0.441,-2.068,-0.568,2.049,-0.385,2.049,2000,E,2000,S,,,77768,10.08,0
61,231.531,"Mount",0.557,-1.953,-0.676,1.929,-0.453,1.929,2000,E,2000,S,,,74696,9.87,0
62,237.107,"Mount",0.627,-1.992,-0.749,1.966,-0.503,1.966,2000,E,2000,S,,,84493,8.01,0
63,242.666,"Mount",1.100,-2.164,-1.232,2.119,-0.811,2.119,2000,E,2000,S,,,85678,8.26,0
64,248.237,"Mount",0.975,-2.215,-1.110,2.175,-0.756,2.175,2000,E,2000,S,,,96650,8.19,0
65,253.789,"Mount",1.019,-2.163,-1.150,2.121,-0.778,2.121,2000,E,2000,S,,,71959,9.51,0
66,259.338,"Mount",1.200,-2.409,-1.347,2.360,-0.903,2.360,2000,E,2000,S,,,84186,9.02,0
67,264.914,"Mount",1.157,-2.457,-1.306,2.410,-0.886,2.410,2000,E,2000,S,,,86725,8.26,0
68,270.491,"Mount",0.951,-2.106,-1.079,2.067,-0.742,2.067,2000,E,2000,S,,,83045,8.45,0
69,276.048,"Mount",1.077,-2.520,-1.231,2.475,-0.827,2.475,2000,E,2000,S,,,90022,9.05,0
70,281.642,"Mount",1.030,-2.551,-1.185,2.508,-0.805,2.508,2000,E,2000,S,,,75989,10.35,0
71,287.189,"Mount",1.266,-2.646,-1.427,2.594,-0.955,2.594,2000,E,2000,S,,,80120,10.25,0
72,292.743,"Mount",1.118,-2.661,-1.280,2.615,-0.873,2.615,2000,E,2000,S,,,74033,10.04,0
73,298.371,"Mount",1.204,-2.791,-1.374,2.742,-0.927,2.742,2000,E,2000,S,,,67199,10.24,0
74,303.940,"Mount",1.183,-2.783,-1.353,2.733,-0.917,2.733,2000,E,2000,S,,,70214,12.01,0
75,309.497,"Mount",1.057,-2.886,-1.233,2.842,-0.841,2.842,2000,E,2000,S,,,70263,12.80,0
76,315.093,"Mount",1.293,-2.942,-1.472,2.889,-0.986,2.889,2000,E,2000,S,,,70278,11.36,0
77,320.681,"Mount",1.188,-2.950,-1.368,2.901,-0.931,2.901,2000,E,2000,S,,,66284,11.27,0
78,326.285,"Mount",1.242,-2.921,-1.420,2.870,-0.960,2.870,2000,E,2000,S,,,67906,12.59,0
79,331.839,"Mount",1.249,-3.030,-1.433,2.978,-0.970,2.978,2000,E,2000,S,,,70287,11.97,0
80,337.437,"Mount",1.428,-2.994,-1.610,2.935,-1.082,2.935,2000,E,2000,S,,,73877,12.01,0
81,343.011,"Mount",1.412,-3.061,-1.598,3.002,-1.083,3.002,2000,E,2000,S,,,75167,9.87,0
82,348.595,"Mount",1.412,-3.314,-1.614,3.256,-1.093,3.256,2000,E,2000,S,,,73875,9.39,0
83,354.172,"Mount",1.334,-3.116,-1.524,3.060,-1.037,3.060,2000,E,2000,S,,,97438,8.24,0
84,359.742,"Mount",1.383,-3.118,-1.573,3.061,-1.064,3.061,2000,E,2000,S,,,73416,9.62,0
85,365.341,"Mount",1.246,-3.296,-1.447,3.244,-0.986,3.244,2000,E,2000,S,,,75896,9.13,0
86,370.894,"Mount",1.278,-3.359,-1.483,3.305,-1.003,3.305,2000,E,2000,S,,,100571,8.11,0
87,376.468,"Mount",1.152,-3.657,-1.376,3.609,-0.937,3.609,2000,E,2000,S,,,83671,8.64,0
88,382.153,"Mount",1.376,-3.556,-1.593,3.499,-1.069,3.499,2000,E,2000,S,,,78339,9.85,0
89,387.720,"Mount",1.364,-3.664,-1.588,3.607,-1.075,3.607,2000,E,2000,S,,,87638,7.97,0
90,393.282,"Mount",1.328,-3.841,-1.562,3.785,-1.060,3.785,2000,E,2000,S,,,69672,10.22,0
91,398.869,"Mount",1.256,-3.668,-1.479,3.615,-1.006,3.615,2000,E,2000,S,,,67290,10.27,0
92,404.450,"Mount",1.299,-3.907,-1.537,3.852,-1.039,3.852,2000,E,2000,S,,,63459,11.62,0
93,410.003,"Mount",1.245,-3.942,-1.486,3.889,-1.009,3.889,2000,E,2000,S,,,65617,12.46,0
94,415.638,"Mount",1.097,-4.023,-1.343,3.977,-0.917,3.977,2000,E,2000,S,,,73164,12.57,0
95,421.220,"Mount",1.116,-4.068,-1.365,4.021,-0.924,4.021,2000,E,2000,S,,,67121,10.88,0
96,426.766,"Mount",1.033,-4.188,-1.290,4.144,-0.877,4.144,2000,E,2000,S,,,70992,10.99,0
97,432.367,"Mount",0.970,-4.275,-1.232,4.233,-0.837,4.233,2000,E,2000,S,,,66219,9.34,0
98,437.924,"Mount",1.019,-4.368,-1.287,4.324,-0.869,4.324,2000,E,2000,S,,,66426,10.37,0
99,443.523,"Mount",1.035,-4.225,-1.294,4.180,-0.876,4.180,2000,E,2000,S,,,71466,10.60,0
100,449.081,"Mount",1.160,-4.394,-1.429,4.345,-0.962,4.345,2000,E,2000,S,,,82262,9.39,0
101,454.651,"Mount",1.169,-4.257,-1.430,4.208,-0.968,4.208,2000,E,2000,S,,,85167,9.20,0
102,460.214,"Mount",1.245,-4.496,-1.520,4.443,-1.025,4.443,2000,E,2000,S,,,73290,9.51,0
103,465.761,"Mount",1.240,-4.470,-1.514,4.417,-1.025,4.417,2000,E,2000,S,,,75577,10.66,0
104,471.319,"Mount",1.249,-4.759,-1.540,4.706,-1.042,4.706,2000,E,2000,S,,,69782,10.45,0
105,476.883,"Mount",1.457,-4.540,-1.734,4.478,-1.166,4.478,2000,E,2000,S,,,88493,9.22,0
106,482.442,"Mount",1.280,-4.643,-1.564,4.589,-1.067,4.589,2000,E,2000,S,,,73293,9.83,0
107,488.008,"Mount",1.489,-5.000,-1.794,4.937,-1.205,4.937,2000,E,2000,S,,,73809,10.13,0
108,493.567,"Mount",1.545,-4.891,-1.844,4.826,-1.246,4.826,2000,E,2000,S,,,99679,8.14,0
109,499.114,"Mount",1.527,-4.819,-1.822,4.755,-1.235,4.755,2000,E,2000,S,,,80476,9.06,0
110,504.669,"Mount",1.883,-4.668,-2.167,4.589,-1.452,4.589,2000,E,2000,S,,,79513,8.95,0
111,510.219,"Mount",1.895,-5.119,-2.208,5.040,-1.492,5.040,2000,E,2000,S,,,79131,9.28,0
112,515.792,"Mount",1.721,-4.949,-2.023,4.877,-1.379,4.877,2000,E,2000,S,,,73756,11.04,0
113,521.355,"Mount",1.727,-5.167,-2.043,5.094,-1.383,5.094,2000,E,2000,S,,,80941,9.90,0
114,526.936,"Mount",1.908,-5.239,-2.228,5.160,-1.500,5.160,2000,E,2000,S,,,65033,11.19,0
115,532.506,"Mount",1.978,-4.831,-2.272,4.749,-1.537,4.749,2000,E,2000,S,,,81176,9.29,0
116,538.072,"Mount",1.909,-5.085,-2.219,5.005,-1.506,5.005,2000,E,2000,S,,,67249,10.12,0
117,543.618,"Mount",2.120,-5.165,-2.435,5.077,-1.639,5.077,2000,E,2000,S,,,73084,10.66,0
118,549.190,"Mount",1.791,-5.297,-2.115,5.222,-1.447,5.222,2000,E,2000,S,,,88054,9.35,0
119,554.788,"Mount",2.103,-5.411,-2.433,5.323,-1.634,5.323,2000,E,2000,S,,,79226,9.84,0
120,560.353,"Mount",1.667,-5.361,-1.994,5.291,-1.371,5.291,2000,E,2000,S,,,92827,8.15,0
121,565.942,"Mount",2.009,-5.216,-2.328,5.133,-1.562,5.133,2000,E,2000,S,,,83620,8.47,0
122,571.516,"Mount",2.149,-5.686,-2.496,5.596,-1.682,5.596,2000,E,2000,S,,,76560,9.59,0
123,577.083,"Mount",1.998,-5.623,-2.341,5.539,-1.593,5.539,2000,E,2000,S,,,76159,9.64,0
124,582.639,"Mount",2.159,-5.851,-2.516,5.761,-1.697,5.761,2000,E,2000,S,,,71351,11.59,0
125,588.187,"Mount",2.081,-5.812,-2.436,5.725,-1.653,5.725,2000,E,2000,S,,,73568,11.49,0
126,593.761,"Mount",2.137,-5.853,-2.494,5.764,-1.687,5.764,2000,E,2000,S,,,69667,10.85,0
127,599.324,"Mount",1.994,-5.836,-2.351,5.753,-1.599,5.753,2000,E,2000,S,,,64357,12.12,0
128,604.898,"Mount",2.009,-5.991,-2.375,5.907,-1.608,5.907,2000,E,2000,S,,,74809,12.53,0
129,610.488,"Mount",2.020,-5.946,-2.383,5.862,-1.614,5.862,2000,E,2000,S,,,69834,12.31,0
130,616.118,"Mount",2.022,-6.071,-2.393,5.986,-1.621,5.986,2000,E,2000,S,,,68743,11.30,0
131,621.674,"Mount",1.844,-6.088,-2.216,6.010,-1.509,6.010,2000,E,2000,S,,,68197,10.61,0
132,627.244,"Mount",1.967,-6.143,-2.342,6.060,-1.581,6.060,2000,E,2000,S,,,75565,10.17,0
133,632.791,"Mount",2.131,-6.085,-2.503,5.995,-1.687,5.995,2000,E,2000,S,,,73094,10.73,0
134,638.366,"Mount",2.058,-6.373,-2.447,6.287,-1.660,6.287,2000,E,2000,S,,,74019,9.58,0
135,643.939,"Mount",2.040,-6.322,-2.426,6.236,-1.645,6.236,2000,E,2000,S,,,87507,9.51,0
136,649.514,"Mount",1.950,-6.276,-2.333,6.194,-1.585,6.194,2000,E,2000,S,,,85435,8.63,0
137,655.085,"Mount",1.931,-6.967,-2.358,6.885,-1.596,6.885,2000,E,2000,S,,,94121,7.13,0
138,660.639,"Mount",1.778,-6.456,-2.173,6.380,-1.481,6.380,2000,E,2000,S,,,91580,8.40,0
139,666.193,"Mount",1.937,-6.813,-2.354,6.731,-1.587,6.731,2000,E,2000,S,,,75686,9.46,0
140,671.768,"Mount",1.746,-6.615,-2.151,6.540,-1.466,6.540,2000,E,2000,S,,,74606,9.32,0
141,677.315,"Mount",1.841,-6.772,-2.255,6.694,-1.524,6.694,2000,E,2000,S,,,73640,9.27,0
142,682.882,"Mount",1.658,-6.622,-2.064,6.551,-1.407,6.551,2000,E,2000,S,,,80437,8.64,0
143,688.447,"Mount",1.862,-6.942,-2.287,6.863,-1.539,6.863,2000,E,2000,S,,,75602,9.20,0
144,694.019,"Mount",1.851,-6.899,-2.273,6.821,-1.540,6.821,2000,E,2000,S,,,67286,11.73,0
145,699.581,"Mount",1.950,-7.053,-2.382,6.970,-1.608,6.970,2000,E,2000,S,,,79226,10.14,0
146,705.155,"Mount",1.927,-6.878,-2.348,6.796,-1.592,6.796,2000,E,2000,S,,,72027,11.59,0
147,710.729,"Mount",2.006,-6.992,-2.434,6.907,-1.645,6.907,2000,E,2000,S,,,64328,11.91,0
148,716.287,"Mount",2.107,-7.080,-2.540,6.991,-1.715,6.991,2000,E,2000,S,,,63549,11.47,0
149,721.845,"Mount",2.097,-6.998,-2.525,6.910,-1.711,6.910,2000,E,2000,S,,,79768,9.81,0
150,727.404,"Mount",2.070,-7.210,-2.511,7.123,-1.702,7.123,2000,E,2000,S,,,77133,9.87,0
151,732.966,"Mount",2.407,-7.152,-2.844,7.052,-1.911,7.052,2000,E,2000,S,,,70523,11.14,0
152,738.514,"Mount",2.376,-7.265,-2.820,7.165,-1.910,7.165,2000,E,2000,S,,,76260,9.98,0
153,744.096,"Mount",2.018,-7.054,-2.449,6.969,-1.677,6.969,2000,E,2000,S,,,83079,8.83,0
154,749.673,"Mount",2.248,-7.387,-2.700,7.293,-1.818,7.293,2000,E,2000,S,,,93422,8.73,0
155,755.297,"Mount",2.645,-7.553,-3.106,7.443,-2.084,7.443,2000,E,2000,S,,,113404,8.01,0
156,760.907,"Mount",2.022,-7.146,-2.459,7.060,-1.695,7.060,2000,E,2000,S,,,115190,6.60,0
157,766.518,"Mount",2.603,-7.699,-3.073,7.590,-2.055,7.590,2000,E,2000,S,,,90296,7.64,0
158,772.130,"Mount",2.840,-7.964,-3.326,7.845,-2.239,7.845,2000,E,2000,S,,,97789,7.45,0
159,777.700,"Mount",2.295,-7.892,-2.778,7.795,-1.907,7.795,2000,E,2000,S,,,93975,7.80,0
160,783.245,"Mount",2.552,-7.836,-3.031,7.729,-2.043,7.729,2000,E,2000,S,,,89324,9.42,0
161,788.869,"Mount",2.614,-7.760,-3.087,7.650,-2.088,7.650,2000,E,2000,S,,,78202,8.97,0
162,794.448,"Mount",2.537,-7.841,-3.016,7.734,-2.046,7.734,2000,E,2000,S,,,91953,8.55,0
163,799.997,"Mount",2.348,-7.676,-2.817,7.577,-1.918,7.577,2000,E,2000,S,,,90001,9.27,0
164,805.596,"Mount",2.461,-8.092,-2.956,7.988,-1.996,7.988,2000,E,2000,S,,,65821,9.60,0
165,811.164,"Mount",2.548,-7.846,-3.028,7.739,-2.047,7.739,2000,E,2000,S,,,86674,9.86,0
166,816.769,"Mount",2.474,-7.909,-2.958,7.805,-2.007,7.805,2000,E,2000,S,,,98679,8.12,0
167,822.417,"Mount",2.348,-8.103,-2.843,8.003,-1.932,8.003,2000,E,2000,S,,,85877,9.89,0
168,827.984,"Mount",2.111,-8.422,-2.626,8.332,-1.790,8.332,2000,E,2000,S,,,102620,7.81,0
169,833.551,"Mount",2.528,-8.127,-3.024,8.021,-2.031,8.021,2000,E,2000,S,,,91012,7.79,0
170,839.156,"Mount",2.209,-7.986,-2.697,7.893,-1.841,7.893,2000,E,2000,S,,,87930,8.01,0
171,844.717,"Mount",2.912,-8.226,-3.414,8.104,-2.280,8.104,2000,E,2000,S,,,94744,7.75,0
172,850.446,"Mount",2.313,-8.749,-2.848,8.651,-1.954,8.651,2000,E,2000,S,,,103200,7.21,0
173,856.027,"Mount",2.090,-8.766,-2.627,8.677,-1.792,8.677,2000,E,2000,S,,,90654,7.67,0
174,861.569,"Mount",2.684,-8.639,-3.212,8.526,-2.149,8.526,2000,E,2000,S,,,97388,8.09,0
175,867.140,"Mount",2.640,-9.048,-3.193,8.937,-2.162,8.937,2000,E,2000,S,,,80590,7.66,0
176,872.711,"Mount",2.410,-9.050,-2.964,8.948,-2.019,8.948,2000,E,2000,S,,,86395,8.76,0
177,878.259,"Mount",2.496,-8.755,-3.032,8.649,-2.051,8.649,2000,E,2000,S,,,91899,8.39,0
178,883.815,"Mount",2.697,-9.034,-3.250,8.920,-2.191,8.920,2000,E,2000,S,,,77286,10.04,0
179,889.379,"Mount",2.529,-8.916,-3.075,8.809,-2.090,8.809,2000,E,2000,S,,,74957,11.42,0
180,894.945,"Mount",2.467,-9.049,-3.020,8.944,-2.049,8.944,2000,E,2000,S,,,71489,11.37,0
181,900.495,"Mount",2.466,-9.051,-3.020,8.946,-2.046,8.946,2000,E,2000,S,,,66369,10.43,0
182,906.084,"Mount",2.532,-9.355,-3.105,9.247,-2.099,9.247,2000,E,2000,S,,,90601,8.72,0
183,911.775,"Mount",2.341,-9.248,-2.907,9.148,-1.978,9.148,2000,E,2000,S,,,90827,8.90,0
184,917.336,"Mount",2.371,-9.193,-2.934,9.092,-1.987,9.092,2000,E,2000,S,,,108147,8.08,0
185,922.924,"Mount",2.383,-9.115,-2.941,9.013,-1.992,9.013,2000,E,2000,S,,,87311,8.44,0
186,928.487,"Mount",2.181,-9.154,-2.742,9.061,-1.867,9.061,2000,E,2000,S,,,82009,8.29,0
187,934.318,"Mount",2.419,-9.278,-2.987,9.175,-2.012,9.175,2000,E,2000,S,,,100458,7.79,0
188,939.918,"Mount",2.464,-9.141,-3.023,9.036,-2.046,9.036,2000,E,2000,S,,,91039,7.32,0
189,945.519,"Mount",2.908,-9.755,-3.504,9.632,-2.351,9.632,2000,E,2000,S,,,98805,8.19,0
190,951.119,"Mount",2.739,-9.731,-3.335,9.615,-2.265,9.615,2000,E,2000,S,,,97509,8.12,0
191,956.720,"Mount",2.870,-9.467,-3.448,9.346,-2.331,9.346,2000,E,2000,S,,,85902,7.19,0
192,962.320,"Mount",2.709,-9.671,-3.301,9.556,-2.243,9.556,2000,E,2000,S,,,85612,9.81,0
193,967.905,"Mount",2.993,-9.772,-3.590,9.646,-2.419,9.646,2000,E,2000,S,,,69699,10.11,0
194,973.505,"Mount",3.010,-9.819,-3.610,9.692,-2.444,9.692,2000,E,2000,S,,,69065,11.35,0
195,979.106,"Mount",2.994,-9.765,-3.591,9.639,-2.433,9.639,2000,E,2000,S,,,83489,11.42,0
196,984.706,"Mount",3.151,-9.797,-3.750,9.664,-2.533,9.664,2000,E,2000,S,,,73915,10.28,0
197,990.322,"Mount",3.169,-9.927,-3.775,9.794,-2.556,9.794,2000,E,2000,S,,,76329,11.51,0
198,995.891,"Mount",3.194,-10.084,-3.810,9.950,-2.579,9.950,2000,E,2000,S,,,73825,13.37,0
199,1001.492,"Mount",3.185,-10.016,-3.797,9.882,-2.572,9.882,2000,E,2000,S,,,75235,10.98,0
200,1007.092,"Mount",3.294,-9.952,-3.902,9.814,-2.638,9.814,2000,E,2000,S,,,72098,12.61,0
201,1012.708,"Mount",3.501,-9.870,-4.104,9.723,-2.770,9.723,2000,E,2000,S,,,72915,9.72,0
202,1018.309,"Mount",3.209,-10.173,-3.830,10.038,-2.607,10.038,2000,E,2000,S,,,64109,10.40,0
203,1023.909,"Mount",3.465,-10.112,-4.083,9.967,-2.755,9.967,2000,E,2000,S,,,80964,10.78,0
204,1029.494,"Mount",3.361,-10.319,-3.991,10.178,-2.707,10.178,2000,E,2000,S,,,88159,8.22,0
205,1035.094,"Mount",3.148,-10.328,-3.780,10.195,-2.571,10.195,2000,E,2000,S,,,86105,9.98,0
206,1040.679,"Mount",3.006,-10.575,-3.652,10.447,-2.481,10.447,2000,E,2000,S,,,86530,8.15,0
207,1046.295,"Mount",3.017,-10.694,-3.671,10.566,-2.486,10.566,2000,E,2000,S,,,90567,9.13,0
208,1051.895,"Mount",3.195,-10.445,-3.834,10.310,-2.589,10.310,2000,E,2000,S,,,79691,9.56,0
209,1057.496,"Mount",3.179,-10.709,-3.834,10.575,-2.596,10.575,2000,E,2000,S,,,76581,11.26,0
210,1063.096,"Mount",3.161,-10.675,-3.813,10.541,-2.584,10.541,2000,E,2000,S,,,65373,12.29,0
211,1068.697,"Mount",3.140,-10.841,-3.803,10.708,-2.577,10.708,2000,E,2000,S,,,69103,12.07,0
212,1074.297,"Mount",3.112,-10.922,-3.780,10.790,-2.562,10.790,2000,E,2000,S,,,71042,11.13,0
213,1079.897,"Mount",3.094,-10.839,-3.757,10.708,-2.546,10.708,2000,E,2000,S,,,73232,12.09,0
214,1085.498,"Mount",3.234,-10.983,-3.905,10.846,-2.639,10.846,2000,E,2000,S,,,73237,13.32,0
215,1091.098,"Mount",3.140,-10.934,-3.809,10.801,-2.584,10.801,2000,E,2000,S,,,71993,13.57,0
216,1096.714,"Mount",3.252,-11.036,-3.926,10.899,-2.654,10.899,2000,E,2000,S,,,75122,11.72,0
217,1102.315,"Mount",3.191,-11.117,-3.871,10.982,-2.625,10.982,2000,E,2000,S,,,74167,11.29,0
218,1107.915,"Mount",3.200,-11.196,-3.885,11.061,-2.631,11.061,2000,E,2000,S,,,77566,10.92,0
219,1113.515,"Mount",3.082,-11.164,-3.765,11.033,-2.556,11.033,2000,E,2000,S,,,79420,11.00,0
220,1119.085,"Mount",3.106,-11.307,-3.798,11.175,-2.572,11.175,2000,E,2000,S,,,79421,10.90,0
221,1124.654,"Mount",3.047,-11.398,-3.745,11.268,-2.539,11.268,2000,E,2000,S,,,73464,10.73,0
222,1130.254,"Mount",3.228,-11.473,-3.930,11.336,-2.653,11.336,2000,E,2000,S,,,67381,10.11,0
223,1135.870,"Mount",3.141,-11.325,-3.833,11.192,-2.601,11.192,2000,E,2000,S,,,83221,10.02,0
224,1141.471,"Mount",3.162,-11.645,-3.874,11.511,-2.623,11.511,2000,E,2000,S,,,72503,9.92,0
225,1147.056,"Mount",3.172,-11.574,-3.880,11.440,-2.628,11.440,2000,E,2000,S,,,70081,10.93,0
226,1152.656,"Mount",3.089,-11.843,-3.814,11.712,-2.587,11.712,2000,E,2000,S,,,71664,11.31,0
227,1158.256,"Mount",3.135,-11.751,-3.854,11.617,-2.609,11.617,2000,E,2000,S,,,76278,11.55,0
228,1163.857,"Mount",3.007,-11.698,-3.723,11.570,-2.528,11.570,2000,E,2000,S,,,64232,10.31,0
229,1169.442,"Mount",3.174,-11.856,-3.900,11.721,-2.634,11.721,2000,E,2000,S,,,75604,12.26,0
230,1175.042,"Mount",3.246,-11.876,-3.972,11.738,-2.687,11.738,2000,E,2000,S,,,69997,12.17,0
231,1180.658,"Mount",3.198,-11.944,-3.928,11.808,-2.663,11.808,2000,E,2000,S,,,70015,11.36,0
232,1186.243,"Mount",3.372,-12.014,-4.107,11.871,-2.774,11.871,2000,E,2000,S,,,71398,9.90,0
233,1191.843,"Mount",3.453,-12.096,-4.193,11.950,-2.835,11.950,2000,E,2000,S,,,72660,9.50,0
234,1197.444,"Mount",3.358,-12.047,-4.095,11.905,-2.778,11.905,2000,E,2000,S,,,73862,10.25,0
235,1203.044,"Mount",3.723,-12.215,-4.470,12.058,-3.010,12.058,2000,E,2000,S,,,91150,8.90,0
236,1208.644,"Mount",3.437,-12.128,-4.178,11.982,-2.843,11.982,2000,E,2000,S,,,88694,9.12,0
237,1214.245,"Mount",3.205,-11.721,-3.923,11.585,-2.670,11.585,2000,E,2000,S,,,101728,7.38,0
